input_sequence,assigned_machine_gt
"<ITEM>K04033 <QTY>318 <COST>25870 <DUE>2021-05-13 <URGENT>1 <MACHINE_CANDIDATES>404.0:12.84,405.0:10.42,407.0:8.69,408.0:9.12,409.0:10.33,410.0:8.99,412.0:12.32,416.0:11.23,422.0:4.0,424.0:9.87,426.0:11.77,433.0:9.54,434.0:13.05,435.0:9.0,436.0:9.0,438.0:4.4,439.0:12.47,440.0:9.4",404.0
"<ITEM>K04031 <QTY>383 <COST>16229 <DUE>2021-05-24 <URGENT>1 <MACHINE_CANDIDATES>407.0:4.85,408.0:3.83,409.0:5.37,410.0:3.09,416.0:2.73,424.0:3.94,425.0:5.47,426.0:6.25,433.0:3.37,434.0:3.86,435.0:3.8,436.0:4.53,440.0:3.85",407.0
"<ITEM>051718 <QTY>19 <COST>8333 <DUE>2021-05-30 <URGENT>0 <MACHINE_CANDIDATES>408.0:4.89,409.0:5.92,410.0:4.91,412.0:3.5,416.0:1.03,424.0:4.6,425.0:4.54,426.0:3.83,433.0:4.64,434.0:7.12,435.0:1.32,439.0:3.0,440.0:1.83",408.0
"<ITEM>056984 <QTY>4 <COST>36533 <DUE>2021-06-03 <URGENT>0 <MACHINE_CANDIDATES>408.0:4.42,409.0:4.03,410.0:5.32,416.0:4.0,424.0:4.8,433.0:4.33,434.0:5.32,439.0:5.25,440.0:4.5",408.0
"<ITEM>057791 <QTY>196 <COST>45500 <DUE>2021-06-18 <URGENT>1 <MACHINE_CANDIDATES>401.0:5.88,403.0:6.5,405.0:11.64,419.0:12.0,420.0:11.82,421.0:10.0,422.0:11.37,424.0:7.85,437.0:5.49,438.0:6.9",401.0
"<ITEM>K03948 <QTY>85 <COST>57641 <DUE>2021-06-18 <URGENT>1 <MACHINE_CANDIDATES>401.0:5.54,402.0:10.0,403.0:6.97,405.0:7.92,406.0:6.5,416.0:8.65,418.0:6.0,419.0:7.27,420.0:12.16,421.0:4.4,422.0:6.89,437.0:6.09,438.0:5.18",401.0
<ITEM>S00341 <QTY>500 <COST>2990 <DUE>2021-02-10 <URGENT>0 <MACHINE_CANDIDATES>410.0:4.6,410.0
"<ITEM>052996 <QTY>2 <COST>20000 <DUE>2021-02-18 <URGENT>0 <MACHINE_CANDIDATES>410.0:25.0,421.0:200.0",410.0
<ITEM>S00341 <QTY>500 <COST>2990 <DUE>2021-03-10 <URGENT>0 <MACHINE_CANDIDATES>410.0:4.6,410.0
<ITEM>S00341 <QTY>500 <COST>2990 <DUE>2021-04-10 <URGENT>0 <MACHINE_CANDIDATES>410.0:4.6,410.0
<ITEM>S00341 <QTY>398 <COST>2990 <DUE>2021-05-10 <URGENT>0 <MACHINE_CANDIDATES>410.0:4.6,410.0
"<ITEM>066157 <QTY>208 <COST>18500 <DUE>2021-05-13 <URGENT>1 <MACHINE_CANDIDATES>408.0:4.59,409.0:6.02,434.0:4.17",408.0
"<ITEM>K04101 <QTY>15 <COST>15640 <DUE>2021-05-30 <URGENT>0 <MACHINE_CANDIDATES>408.0:8.17,409.0:10.62,416.0:8.22,424.0:9.32,425.0:12.5,426.0:11.21",408.0
"<ITEM>052996 <QTY>2 <COST>20000 <DUE>2021-05-30 <URGENT>0 <MACHINE_CANDIDATES>410.0:25.0,421.0:200.0",410.0
<ITEM>S00271 <QTY>150 <COST>4000 <DUE>2021-05-31 <URGENT>0 <MACHINE_CANDIDATES>425.0:1.32,425.0
"<ITEM>057386 <QTY>144 <COST>22750 <DUE>2021-06-01 <URGENT>2 <MACHINE_CANDIDATES>404.0:9.86,405.0:10.0,407.0:5.17,408.0:6.23,409.0:8.99,410.0:1.44,416.0:9.67,424.0:5.35,425.0:4.7,426.0:1.44,433.0:2.97,434.0:8.81,435.0:8.68,437.0:8.27,438.0:9.25,439.0:3.77,440.0:4.58",404.0
"<ITEM>064421 <QTY>2 <COST>366680 <DUE>2021-06-01 <URGENT>0 <MACHINE_CANDIDATES>404.0:12.0,405.0:9.5,409.0:12.0,416.0:10.67,422.0:12.0,424.0:13.0,426.0:10.94,433.0:11.5",404.0
"<ITEM>062138 <QTY>20 <COST>18563 <DUE>2021-06-02 <URGENT>0 <MACHINE_CANDIDATES>404.0:5.0,408.0:3.67,409.0:4.83,410.0:3.04,424.0:2.55,426.0:3.68,433.0:3.1",404.0
"<ITEM>056984 <QTY>4 <COST>14835 <DUE>2021-06-02 <URGENT>0 <MACHINE_CANDIDATES>408.0:4.42,409.0:4.03,410.0:5.32,416.0:4.0,424.0:4.8,433.0:4.33,434.0:5.32,439.0:5.25,440.0:4.5",408.0
"<ITEM>057791 <QTY>216 <COST>42810 <DUE>2021-06-03 <URGENT>1 <MACHINE_CANDIDATES>401.0:5.88,403.0:6.5,405.0:11.64,419.0:12.0,420.0:11.82,421.0:10.0,422.0:11.37,424.0:7.85,437.0:5.49,438.0:6.9",401.0
